n,Exact,Approximation,Poisson,Difference
1,0.000000,0.000000,0.000000,0.000000
2,0.002740,0.002736,0.002736,0.000004
3,0.008204,0.008185,0.008185,0.000019
4,0.016356,0.016304,0.016304,0.000052
5,0.027136,0.027025,0.027025,0.000110
6,0.040462,0.040263,0.040263,0.000200
7,0.056236,0.055910,0.055910,0.000325
8,0.074335,0.073844,0.073844,0.000492
9,0.094624,0.093922,0.093922,0.000702
10,0.116948,0.115991,0.115991,0.000957
11,0.141141,0.139881,0.139881,0.001260
12,0.167025,0.165416,0.165416,0.001609
13,0.194410,0.192408,0.192408,0.002002
14,0.223103,0.220666,0.220666,0.002437
15,0.252901,0.249992,0.249992,0.002909
16,0.283604,0.280189,0.280189,0.003415
17,0.315008,0.311061,0.311061,0.003947
18,0.346911,0.342413,0.342413,0.004498
19,0.379119,0.374055,0.374055,0.005063
20,0.411438,0.405805,0.405805,0.005633
21,0.443688,0.437488,0.437488,0.006201
22,0.475695,0.468938,0.468938,0.006757
23,0.507297,0.500002,0.500002,0.007295
24,0.538344,0.530536,0.530536,0.007808
25,0.568700,0.560412,0.560412,0.008288
26,0.598241,0.589513,0.589513,0.008728
27,0.626859,0.617736,0.617736,0.009123
28,0.654461,0.644993,0.644993,0.009469
29,0.680969,0.671208,0.671208,0.009761
30,0.706316,0.696320,0.696320,0.009996
31,0.730455,0.720282,0.720282,0.010173
32,0.753348,0.743058,0.743058,0.010290
33,0.774972,0.764625,0.764625,0.010347
34,0.795317,0.784972,0.784972,0.010345
35,0.814383,0.804097,0.804097,0.010286
36,0.832182,0.822010,0.822010,0.010172
37,0.848734,0.838727,0.838727,0.010007
38,0.864068,0.854274,0.854274,0.009794
39,0.878220,0.868682,0.868682,0.009537
40,0.891232,0.881990,0.881990,0.009242
41,0.903152,0.894239,0.894239,0.008912
42,0.914030,0.905476,0.905476,0.008554
43,0.923923,0.915750,0.915750,0.008172
44,0.932885,0.925113,0.925113,0.007772
45,0.940976,0.933618,0.933618,0.007358
46,0.948253,0.941318,0.941318,0.006935
47,0.954774,0.948266,0.948266,0.006508
48,0.960598,0.954517,0.954517,0.006081
49,0.965780,0.960121,0.960121,0.005658
50,0.970374,0.965131,0.965131,0.005242
51,0.974432,0.969595,0.969595,0.004837
52,0.978005,0.973560,0.973560,0.004445
53,0.981138,0.977071,0.977071,0.004067
54,0.983877,0.980170,0.980170,0.003707
55,0.986262,0.982897,0.982897,0.003365
56,0.988332,0.985289,0.985289,0.003043
57,0.990122,0.987382,0.987382,0.002741
58,0.991665,0.989206,0.989206,0.002459
59,0.992989,0.990792,0.990792,0.002198
60,0.994123,0.992166,0.992166,0.001956
61,0.995089,0.993354,0.993354,0.001735
62,0.995910,0.994377,0.994377,0.001533
63,0.996604,0.995255,0.995255,0.001349
64,0.997190,0.996007,0.996007,0.001183
65,0.997683,0.996649,0.996649,0.001034
66,0.998096,0.997196,0.997196,0.000900
67,0.998440,0.997660,0.997660,0.000780
68,0.998726,0.998052,0.998052,0.000674
69,0.998964,0.998383,0.998383,0.000580
70,0.999160,0.998662,0.998662,0.000498
71,0.999321,0.998895,0.998895,0.000425
72,0.999453,0.999091,0.999091,0.000362
73,0.999561,0.999253,0.999253,0.000307
74,0.999649,0.999389,0.999389,0.000260
75,0.999720,0.999501,0.999501,0.000219
76,0.999777,0.999594,0.999594,0.000184
77,0.999824,0.999670,0.999670,0.000154
78,0.999861,0.999733,0.999733,0.000128
79,0.999891,0.999784,0.999784,0.000106
80,0.999914,0.999826,0.999826,0.000088
81,0.999933,0.999860,0.999860,0.000073
82,0.999948,0.999888,0.999888,0.000060
83,0.999960,0.999911,0.999911,0.000049
84,0.999969,0.999929,0.999929,0.000040
85,0.999976,0.999943,0.999943,0.000033
86,0.999982,0.999955,0.999955,0.000026
87,0.999986,0.999965,0.999965,0.000021
88,0.999989,0.999972,0.999972,0.000017
89,0.999992,0.999978,0.999978,0.000014
90,0.999994,0.999983,0.999983,0.000011
91,0.999995,0.999987,0.999987,0.000009
92,0.999997,0.999990,0.999990,0.000007
93,0.999997,0.999992,0.999992,0.000006
94,0.999998,0.999994,0.999994,0.000004
95,0.999999,0.999995,0.999995,0.000003
96,0.999999,0.999996,0.999996,0.000003
97,0.999999,0.999997,0.999997,0.000002
98,0.999999,0.999998,0.999998,0.000002
99,1.000000,0.999998,0.999998,0.000001
100,1.000000,0.999999,0.999999,0.000001

Best fit function analysis:
1. Exact formula: P(n) = 1 - ∏(i=1 to n-1) (365-i)/365
2. Approximation: P(n) ≈ 1 - e^(-n(n-1)/(2*365))
3. Poisson: P(n) ≈ 1 - e^(-λ) where λ = n(n-1)/(2*365)
